@relation ClassifierData

@attribute Term_frequency numeric
@attribute IDF numeric
@attribute TFxIDF numeric
@attribute First_occurrence numeric
@attribute Last_occurrence numeric
@attribute Spread numeric
@attribute Domain_keyphraseness numeric
@attribute Length numeric
@attribute Generality numeric
@attribute Node_degree numeric
@attribute Semantic_relatedness numeric
@attribute Wikipedia_keyphraseness numeric
@attribute Inverse_Wikip_frequency numeric
@attribute Total_Wikip_keyphraseness numeric
@attribute Keyphrase? {False,True}

@data
0.000302,0.223144,0.000067,0.209936,0.941384,0.731449,0,1,0,0,0,0,0,0,False
0.000226,1.609438,0.000364,0.841613,0.948451,0.106838,0,2,0,0,0,0,0,0,False
0.000679,0.510826,0.000347,0.028476,0.980669,0.952193,0,1,0,0,0,0,0,0,False
0.000377,0.223144,0.000084,0.249844,0.786115,0.536271,0,1,0,0,0,0,0,0,False
0.000604,1.609438,0.000972,0.002702,0.692787,0.690085,0,1,0,0,0,0,0,0,True
0.000981,1.609438,0.001579,0.721264,0.753689,0.032426,0,1,0,0,0,0,0,0,False
0.000302,0.510826,0.000154,0.816047,0.989607,0.173561,1,1,0,0,0,0,0,0,False
0.000453,0.510826,0.000231,0.269798,0.905217,0.635419,0,1,0,0,0,0,0,0,False
0.00083,0.916291,0.000761,0.075036,0.743089,0.668052,0,1,0,0,0,0,0,0,False
0.000151,0.510826,0.000077,0.146539,0.612555,0.466015,0,1,0,0,0,0,0,0,False
0.000226,0.916291,0.000207,0.215548,0.60715,0.391603,0,2,0,0,0,0,0,0,False
0.000377,0.510826,0.000193,0.069009,0.777177,0.708169,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.622532,0.969029,0.346498,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.529827,0.940137,0.41031,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.271046,0.768447,0.497402,0,1,0,0,0,0,0,0,False
0.000226,1.609438,0.000364,0.070256,0.808979,0.738724,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.072334,0.639784,0.56745,0,1,0,0,0,0,0,0,False
0.001887,0.916291,0.001729,0.002286,0.99127,0.988984,3,1,0,0,0,0,0,0,True
0.000151,0.916291,0.000138,0.161921,0.58678,0.42486,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.409686,0.442943,0.033257,0,4,0,0,0,0,0,0,False
0.000528,0.510826,0.00027,0.179796,0.975265,0.795469,0,1,0,0,0,0,0,0,False
0.000453,0.510826,0.000231,0.390355,0.422573,0.032218,0,1,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.515901,0.83413,0.318229,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.722095,0.738932,0.016836,0,1,0,0,0,0,0,0,False
0.000226,1.609438,0.000364,0.508418,0.913324,0.404905,0,1,0,0,0,0,0,0,False
0.00249,0.223144,0.000556,0.020578,0.957389,0.936811,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.923509,0.965911,0.042403,0,1,0,0,0,0,0,0,False
0.000226,1.609438,0.000364,0.121388,0.431095,0.309707,0,2,0,0,0,0,0,0,False
0.000226,0.916291,0.000207,0.519642,0.685512,0.16587,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.044066,0.221576,0.17751,0,2,0,0,0,0,0,0,False
0.000226,0.223144,0.000051,0.046144,0.887757,0.841613,0,1,0,0,0,0,0,0,False
0.000528,0.916291,0.000484,0.304718,0.57909,0.274371,0,1,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.564747,0.891499,0.326751,0,1,0,0,0,0,0,0,False
0.001056,0.223144,0.000236,0.158387,0.999792,0.841405,0,1,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.106838,0.227188,0.120349,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.929536,0.929952,0.000416,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.570983,0.936188,0.365205,0,3,0,0,0,0,0,0,False
0.000453,0.510826,0.000231,0.018499,0.883392,0.864893,0,1,0,0,0,0,0,0,False
0.000377,0.916291,0.000346,0.428809,0.940345,0.511536,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.368323,0.394928,0.026606,0,5,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.065267,0.793598,0.728331,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.201206,0.202453,0.001247,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.177926,0.870505,0.69258,0,1,0,0,0,0,0,0,False
0.000151,0.223144,0.000034,0.918104,0.950738,0.032634,0,1,0,0,0,0,0,0,False
0.000906,0.223144,0.000202,0.030139,0.775722,0.745583,0,1,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.115153,0.423197,0.308044,0,2,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.021201,0.092704,0.071503,0,5,0,0,0,0,0,0,False
0.000226,0.510826,0.000116,0.248389,0.457285,0.208896,0,1,0,0,0,0,0,0,False
0.000226,0.223144,0.000051,0.135315,0.386198,0.250883,0,1,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.261692,0.347953,0.086261,0,2,0,0,0,0,0,0,False
0.000226,1.609438,0.000364,0.304303,0.578674,0.274371,0,3,0,0,0,0,0,0,False
0.000151,1.609438,0.000243,0.91561,0.929329,0.013719,0,1,0,0,0,0,0,0,False
0.000151,0.916291,0.000138,0.845354,0.862191,0.016836,0,2,0,0,0,0,0,0,False
